productype_name,brand_name,sla_name,warranty_months,incident_type_name,service_type_name,incident_response_minutes,severity_class
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,4,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,6,Critical
Other,YIP,24x7 4Hrs Resolution Time,36,Configuration Change,Request,0,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,16,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,General Incident,Incident,29,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,1009,Minor
Storage,NetApp,24x7 6Hrs Resolution Time,11,Power Supply Failure,Incident,99,Critical
Server,DELL,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,38,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,32,Minor
Storage,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,2,Minor
Storage,EMC,8x5 4Hrs Response Time,11,Hard Disk Drive Failure,Incident,14,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,23,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,18,Minor
Software,VMWare,24x7 4Hrs Resolution Time,8,Software,Incident,9,Major
Server,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,450,Critical
Storage,NetApp,8x5 4Hrs Response Time,11,Hard Disk Drive Failure,Incident,1138,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,67,Minor
Storage,HPE,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,6,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,40,Minor
Storage,HPE,24x7 4Hrs Resolution Time,39,Other Failure,Incident,6,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,Network Card Failure,Incident,6,Major
Server,HPE,24x7 4Hrs Resolution Time,59,General Incident,Incident,5,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,Trend Micro,24x7 4Hrs Response Time,11,General Incident,Incident,10,Minor
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,8,Major
Storage,HPE,24x7 6Hrs Resolution Time,11,Power Supply Failure,Incident,5,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,16,Minor
Server,DELL,24x7 6Hrs Resolution Time,11,General Incident,Incident,8,Minor
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,12,Minor
Storage,EMC,8x5 4Hrs Response Time,11,Hard Disk Drive Failure,Incident,4,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,4,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Server,Oracle,24x7 4Hrs Resolution Time,11,Power Supply Failure,Incident,1270,Major
Other,HPE,24x7 4Hrs Resolution Time,11,System Board Failure,Incident,60,Critical
Other,Veritas,24x7 4Hrs Response Time,23,Backup Failure,Incident,25,Major
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,0,Major
Storage,NetApp,24x7 4Hrs Resolution Time,60,General Incident,Incident,20,Major
Server,HPE,24x7 4Hrs Resolution Time,60,Hard Disk Drive Failure,Incident,5,Critical
Storage,NetApp,24x7 4Hrs Resolution Time,60,General Incident,Incident,0,Major
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,1044,Major
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,0,Major
Software,VMWare,24x7 4Hrs Resolution Time,11,Software,Incident,6,Major
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,48,Cosmatic
Other,Veritas,24x7 4Hrs Response Time,23,Backup Failure,Incident,7,Major
Storage,NetApp,24x7 4Hrs Response Time,12,General Incident,Incident,13,Major
Storage,NetApp,24x7 4Hrs Resolution Time,11,General Incident,Incident,40,Major
Storage,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,10,Minor
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,158,Major
Hardware,Oracle,24x7 4Hrs Resolution Time,11,General Incident,Request,5,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,36,Hard Disk Drive Failure,Incident,14,Major
Software,Oracle,24x7 4Hrs Response Time,11,General Incident,Incident,1,Major
Storage,HPE,24x7 4Hrs Resolution Time,36,Hard Disk Drive Failure,Incident,9,Minor
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,10,Major
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,151,Major
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Incident,12,Minor
Storage,HPE,24x7 4Hrs Resolution Time,11,General Incident,Request,143,Cosmatic
Switch,Cisco,24x7 4Hrs Resolution Time,23,General Incident,Request,179,Minor
Server,HPE,24x7 6Hrs Response Time,67,General Incident,Incident,7,Minor
Server,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,2,Major
Server,HPE,24x7 4Hrs Resolution Time,9,Cache Battery Failure,Incident,168,Major
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,14,Minor
Storage,NetApp,24x7 4Hrs Response Time,23,Network Card Failure,Incident,5,Major
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,255,Minor
Access Point,Cisco,24x7 4Hrs Resolution Time,12,Other Failure,Incident,0,Minor
Other,Veritas,24x7 4Hrs Response Time,23,Backup Failure,Incident,0,Minor
Software,VMWare,24x7 4Hrs Resolution Time,7,General Incident,Incident,732,Major
Software,VMWare,24x7 4Hrs Resolution Time,11,Software,Incident,10,Major
Software,Oracle,24x7 4Hrs Response Time,11,Software,Incident,5,Critical
Storage,HPE,24x7 4Hrs Resolution Time,36,Hard Disk Drive Failure,Incident,10,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,21,Minor
Server,HPE,24x7 6Hrs Response Time,59,General Incident,Incident,17,Major
Storage,HPE,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,0,Major
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,15,Major
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Incident,9,Minor
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,5,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Hard Disk Drive Failure,Incident,1272,Major
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,39,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,187,Major
Other,YIP,24x7 4Hrs Resolution Time,36,Configuration Change,Request,0,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,12,Memory Failure,Incident,3,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,6,Critical
Software,VMWare,24x7 4Hrs Resolution Time,14,Software,Incident,9,Major
Storage,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,3,Minor
Other,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,1,Major
Software,Veritas,24x7 4Hrs Response Time,60,General Incident,Incident,15,Major
Storage,NetApp,24x7 4Hrs Response Time,59,General Incident,Incident,0,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,11,General Incident,Incident,251,Major
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Storage,NetApp,24x7 4Hrs Response Time,12,General Incident,Request,26,Major
Storage,NetApp,24x7 4Hrs Response Time,60,General Incident,Incident,0,Cosmatic
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,30,Major
Switch,Cisco,24x7 4Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Storage,Oracle,24x7 4Hrs Resolution Time,36,Power Supply Failure,Incident,0,Major
Server,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,0,Minor
Other,Veritas,24x7 4Hrs Response Time,23,General Incident,Incident,5,Major
Server,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,83,Major
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,11,Major
Switch,Cisco,24x7 4Hrs Resolution Time,23,General Incident,Incident,4,Minor
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,8,Critical
Storage,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,11,General Incident,Request,17,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,6,Critical
Software,VMWare,24x7 4Hrs Resolution Time,11,Software,Request,6,Minor
Storage,NetApp,24x7 4Hrs Response Time,12,General Incident,Incident,5,Major
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,1157,Major
Storage,NetApp,24x7 4Hrs Response Time,60,Hard Disk Drive Failure,Incident,156,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,40,Major
Firewall,Palo Alto,24x7 4Hrs Resolution Time,23,General Incident,Incident,33,Minor
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,42,Cosmatic
Server,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,333,Minor
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,1059,Minor
Storage,NetApp,24x7 4Hrs Resolution Time,4,General Incident,Incident,180,Critical
Storage,HPE,24x7 4Hrs Resolution Time,36,General Incident,Incident,46,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,5,Critical
Software,VMWare,24x7 4Hrs Response Time,11,Configuration Change,Request,15,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,6,Critical
Software,VMWare,24x7 4Hrs Resolution Time,60,General Incident,Incident,8,Critical
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,22,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,9x5xNBD 4Hrs Response Time,36,Memory Failure,Incident,8,Critical
Storage,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Incident,45,Major
Other,YIP,24x7 4Hrs Resolution Time,11,General Incident,Incident,60,Cosmatic
Software,VMWare,24x7 4Hrs Resolution Time,36,General Incident,Incident,5,Minor
Storage,Oracle,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,0,Minor
Other,HPE,24x7 4Hrs Resolution Time,11,Power Supply Failure,Incident,240,Minor
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,9,Cache Battery Failure,Incident,120,Major
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,6,Critical
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,5,Major
Storage,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,45,Critical
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,7,Critical
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,5,Critical
Software,VMWare,24x7 4Hrs Resolution Time,11,General Incident,Incident,2,Minor
Storage,HPE,24x7 4Hrs Resolution Time,14,Maintenance System,Request,0,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,4,Critical
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Incident,42,Major
Server,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,11,Major
Storage,HPE,24x7 4Hrs Resolution Time,36,General Incident,Request,800,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,10,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,10,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Incident,24,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,1158,Major
Storage,NetApp,24x7 4Hrs Response Time,24,Software,Request,8,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,3,Critical
Software,VMWare,24x7 4Hrs Resolution Time,36,General Incident,Incident,5,Minor
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Request,98,Minor
Software,Veritas,24x7 4Hrs Response Time,60,Software,Incident,10,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Request,5,Cosmatic
Software,VMWare,24x7 4Hrs Resolution Time,11,Software,Incident,10,Major
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,1,Major
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,16,Major
Storage,HPE,24x7 4Hrs Resolution Time,36,General Incident,Request,9,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,21,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,General Incident,Incident,7,Minor
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,45,Major
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,15,Major
Software,VMWare,24x7 4Hrs Response Time,60,General Incident,Incident,15,Critical
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,15,Major
Software,VMWare,24x7 4Hrs Response Time,60,General Incident,Incident,11,Major
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,15,Critical
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,22,Major
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,30,Major
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,0,Cosmatic
Hardware,HPE,24x7 4Hrs Response Time,60,Network Card Failure,Incident,30,Major
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,8,Major
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,2,Major
Hardware,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,6,Major
Other,YIP,24x7 4Hrs Resolution Time,36,Configuration Change,Request,0,Cosmatic
Storage,NetApp,24x7 4Hrs Resolution Time,60,General Incident,Incident,1,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Minor
Software,VMWare,24x7 4Hrs Resolution Time,36,OS / Firmware,Incident,11,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,3,Critical
Server,HPE,24x7 4Hrs Resolution Time,60,Power Supply Failure,Incident,6,Critical
Software,Microsoft,24x7 4Hrs Resolution Time,11,Software,Incident,12,Minor
Server,HPE,9x5xNBD 4Hrs Response Time,36,System Board Failure,Incident,13,Critical
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,14,Cosmatic
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,9,Critical
Server,HPE,9x5xNBD 4Hrs Response Time,36,Hard Disk Drive Failure,Incident,17,Critical
Storage,HPE,24x7 4Hrs Resolution Time,60,General Incident,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,56,Cosmatic
Storage,YIP,24x7 4Hrs Resolution Time,9,Power Supply Failure,Incident,43,Major
Server,HPE,24x7 4Hrs Resolution Time,13,General Incident,Request,10,Critical
Storage,HPE,24x7 4Hrs Resolution Time,11,Power Supply Failure,Incident,9,Major
Server,HPE,24x7 4Hrs Resolution Time,48,Memory Failure,Incident,19,Critical
Server,HPE,24x7 4Hrs Response Time,60,Memory Failure,Incident,0,Major
Access Point,Cisco,24x7 4Hrs Resolution Time,12,Other Failure,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,9,Major
Server,DELL,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,38,Major
Storage,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,38,Minor
Storage,NetApp,24x7 6Hrs Resolution Time,11,General Incident,Incident,0,Major
Storage,NetApp,24x7 4Hrs Resolution Time,5,General Incident,Incident,13,Major
Storage,NetApp,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,0,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,8,Major
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,2,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,0,Major
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,5,Critical
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,6,Critical
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,15,Minor
Hardware,Oracle,24x7 4Hrs Resolution Time,11,General Incident,Incident,0,Minor
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,120,Minor
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,8,Major
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,15,Minor
Server,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,210,Minor
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,8,Major
Server,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,330,Minor
Storage,Oracle,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,120,Minor
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,9,Major
Storage,HPE,24x7 6Hrs Resolution Time,11,Controller/Node Failure,Incident,4,Major
Server,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,900,Minor
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Incident,36,Major
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,6,Major
Software,VMWare,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,13,Major
Server,HPE,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,420,Minor
Server,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,39,Minor
Software,Veritas,24x7 4Hrs Response Time,11,General Incident,Request,106,Minor
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Request,116,Cosmatic
Switch,HPE,24x7 6Hrs Response Time,11,General Incident,Incident,33,Major
Server,HPE,24x7 4Hrs Resolution Time,9,Memory Failure,Incident,258,Minor
Switch,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,20,Major
Server,HPE,24x7 6Hrs Response Time,60,General Incident,Incident,9,Major
Server,HPE,24x7 4Hrs Resolution Time,9,System Board Failure,Incident,26,Major
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Incident,113,Major
Server,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,240,Minor
Storage,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,23,Minor
Storage,HPE,24x7 4Hrs Resolution Time,9,General Incident,Request,39,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,9,General Incident,Request,11,Cosmatic
Storage,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,4,Minor
Server,DELL,24x7 6Hrs Resolution Time,11,General Incident,Incident,0,Major
Server,HPE,24x7 4Hrs Resolution Time,9,System Board Failure,Incident,4,Critical
Storage,Oracle,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,0,Major
Server,HPE,24x7 4Hrs Resolution Time,9,General Incident,Incident,300,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,General Incident,Incident,71,Major
Storage,HPE,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,596,Minor
Storage,HPE,24x7 6Hrs Resolution Time,11,Power Supply Failure,Incident,13,Major
Server,HPE,24x7 4Hrs Resolution Time,62,Memory Failure,Incident,720,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,General Incident,Incident,29,Major
Server,HPE,24x7 4Hrs Resolution Time,13,Hard Disk Drive Failure,Incident,6,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,1,Major
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,240,Minor
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Power Supply Failure,Incident,0,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,0,Major
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,22,Major
Storage,NetApp,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,15,Major
Server,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,17,Critical
Storage,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,32,Major
Server,IBM,24x7 4Hrs Resolution Time,9,Hard Disk Drive Failure,Incident,0,Major
Software,Veeam,24x7 4Hrs Resolution Time,11,Software,Incident,9,Major
Software,VMWare,24x7 4Hrs Resolution Time,8,Software,Incident,10,Major
Software,Veritas,24x7 4Hrs Response Time,11,General Incident,Request,1436,Minor
Software,VMWare,24x7 4Hrs Resolution Time,8,Software,Incident,9,Major
Hardware,Oracle,24x7 4Hrs Resolution Time,11,System Board Failure,Incident,0,Critical
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Incident,0,Cosmatic
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,13,Critical
Software,VMWare,24x7 4Hrs Resolution Time,11,Upgrade Software,Request,1,Cosmatic
Storage,NetApp,24x7 6Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,9,Major
Server,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,13,Minor
Storage,NetApp,24x7 6Hrs Resolution Time,11,General Incident,Incident,39,Major
Storage,HPE,24x7 4Hrs Resolution Time,11,General Incident,Incident,11,Critical
Software,Veritas,24x7 4Hrs Response Time,11,General Incident,Incident,55,Minor
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,28,Cosmatic
Software,VMWare,24x7 4Hrs Response Time,11,Software,Request,20,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,23,Minor
Server,HPE,24x7 4Hrs Resolution Time,11,Network Card Failure,Incident,120,Major
Server,HPE,24x7 4Hrs Resolution Time,13,General Incident,Incident,6,Critical
